Date,Spot Price
1978-02-28,1852.8470000000002
1978-03-31,2010.3509000000001
1978-04-28,1974.9225700000002
1978-05-31,1960.9392400000002
1978-06-30,2119.44318
1978-07-31,2248.88582
1978-08-31,2309.7043400000002
1978-09-29,2409.83174
1978-10-31,2865.0284500000002
1978-11-30,3203.9702
1978-12-29,3183.4513
1979-01-31,3731.7656400000005
1979-02-28,5358.0189
1979-03-30,5286.73887
1979-04-30,4511.45048
1979-05-31,4164.44099
1979-06-29,4053.34477
1979-07-31,4711.120980000001
1979-08-31,5012.4313
1979-09-28,4867.042560000001
1979-10-31,5211.1257000000005
1979-11-30,5112.3022900000005
1979-12-31,4833.66945
1980-01-31,4705.18234
1980-02-29,4429.95758
1980-03-31,4110.23794
1980-04-30,4093.0620300000005
1980-05-30,4107.805380000001
1980-06-30,4034.0473700000002
1980-07-31,3968.21428
1980-08-29,3632.10559
1980-09-30,3705.0317000000005
1980-10-31,4039.0785300000002
1980-11-28,3998.59963
1980-12-31,3766.7723300000002
1981-01-30,3749.3109400000003
1981-02-27,3506.98122
1981-03-31,3440.4489500000004
1981-04-30,3064.66809
1981-05-29,3274.16031
1981-06-30,3106.95746
1981-07-31,2969.9762400000004
1981-08-31,3224.7624600000004
1981-09-30,3468.5868600000003
1981-10-30,4223.59108
1981-11-30,4094.0194300000003
1981-12-31,4050.0775700000004
1982-01-29,4296.42436
1982-02-26,4734.379800000001
1982-03-31,4880.1513700000005
1982-04-30,4183.59536
1982-05-31,4308.96526
1982-06-30,4364.9783800000005
1982-07-30,4153.265200000001
1982-08-31,4255.10664
1982-09-30,4230.5567200000005
1982-10-29,4204.60372
1982-11-30,4021.86133
1982-12-31,3949.9348700000005
1983-01-31,4063.4188900000004
1983-02-28,3966.8900900000003
1983-03-31,4129.787520000001
1983-04-29,4228.1544
1983-05-31,4116.18214
1983-06-30,4139.6885600000005
1983-07-29,4173.906870000001
1983-08-31,3934.7143000000005
1983-09-30,4003.4678900000004
1983-10-31,4016.5741300000004
1983-11-30,4070.5175200000003
1983-12-30,4105.223660000001
1984-01-31,3908.7482800000002
1984-02-29,3813.2819500000005
1984-03-30,3869.5579800000005
1984-04-30,3856.57196
1984-05-31,4005.5654200000004
1984-06-29,3917.69709
1984-07-31,3910.00451
1984-08-31,3800.4757200000004
1984-09-28,3918.4046300000005
1984-10-31,3894.0103700000004
1984-11-30,3902.6111900000005
1984-12-31,3903.3422600000004
1985-01-31,3871.6132500000003
1985-02-28,4214.447590000001
1985-03-29,4175.84986
1985-04-30,4210.43364
1985-05-31,4199.57714
1985-06-28,4253.47702
1985-07-31,4294.21367
1985-08-30,4345.879690000001
1985-09-30,4702.2634100000005
1985-10-31,5263.401620000001
1985-11-29,5431.14194
1985-12-31,5188.308440000001
1986-01-31,5107.2489000000005
1986-02-28,5287.367660000001
1986-03-31,5213.575000000001
1986-04-30,5249.4854000000005
1986-05-30,5576.84677
1986-06-30,5825.51112
1986-07-31,5759.6718200000005
1986-08-29,5839.144990000001
1986-09-30,6003.643040000001
1986-10-31,5946.91977
1986-11-28,6027.928540000001
1986-12-31,6028.09925
1987-01-30,6263.588210000001
1987-02-27,6205.00614
1987-03-31,5745.371550000001
1987-04-30,5730.2502700000005
1987-05-29,5929.52695
1987-06-30,5971.235490000001
1987-07-31,6214.282770000001
1987-08-31,6145.87704
1987-09-30,6127.600670000001
1987-10-30,5955.04532
1987-11-30,5945.750290000001
1987-12-31,6256.747410000001
1988-01-29,6273.042740000001
1988-02-29,6095.08052
1988-03-31,5892.939600000001
1988-04-29,6010.92262
1988-05-31,6013.32224
1988-06-30,5993.597900000001
1988-07-29,5996.77808
1988-08-31,6097.131700000001
1988-09-30,6049.713570000001
1988-10-31,6019.79654
1988-11-30,6144.897470000001
1988-12-30,6637.0208
1989-01-31,6901.524120000001
1989-02-28,6936.367940000001
1989-03-31,7062.869740000001
1989-04-28,6704.41243
1989-05-31,6467.518040000001
1989-06-30,6373.2821300000005
1989-07-31,6119.03654
1989-08-31,6299.46611
1989-09-29,6831.886670000001
1989-10-31,6940.656190000001
1989-11-30,6878.455400000001
1989-12-29,6895.38403
1990-01-31,6841.66895
1990-02-28,7032.126450000001
1990-03-30,6849.5851
1990-04-30,7003.578600000001
1990-05-31,7145.317150000001
1990-06-29,7318.0188100000005
1990-07-31,7699.377740000001
1990-08-31,9363.91835
1990-09-28,9195.67645
1990-10-31,8994.243040000001
1990-11-30,9251.230210000002
1990-12-31,9294.470350000001
1991-01-31,9315.31898
1991-02-28,9171.685290000001
1991-03-29,9185.50439
1991-04-30,9707.31422
1991-05-31,9751.61432
1991-06-28,9601.93373
1991-07-31,9684.502100000002
1991-08-30,10051.55152
1991-09-30,9712.612260000002
1991-10-31,9788.528100000001
1991-11-29,9776.51353
1991-12-31,9503.9261
1992-01-31,9655.009150000002
1992-02-28,9502.10913
1992-03-31,9852.04088
1992-04-30,10427.47651
1992-05-29,10723.10215
1992-06-30,11511.321000000002
1992-07-31,11683.974730000002
1992-08-31,12303.69101
1992-09-30,11904.91386
1992-10-30,11171.879060000001
1992-11-30,11435.785210000002
1992-12-31,11724.58306
1993-01-29,12038.12274
1993-02-26,12135.507950000001
1993-03-31,11979.918860000002
1993-04-30,12051.712720000001
1993-05-31,11834.385
1993-06-30,11964.960430000001
1993-07-30,12093.22858
1993-08-31,12092.62253
1993-09-30,11931.711700000002
1993-10-29,12283.580080000002
1993-11-30,12227.11599
1993-12-31,12065.82709
1994-01-31,11904.4638
1994-02-28,11875.3838
1994-03-31,11817.5531
