"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 50","27 Mar 2025","14493.5","14628.35","14462.7","14591.70"
"NIFTY MIDCAP 50","26 Mar 2025","14670.05","14774.3","14546.05","14567.05"
"NIFTY MIDCAP 50","25 Mar 2025","14921.85","14929.45","14594.2","14659.20"
"NIFTY MIDCAP 50","24 Mar 2025","14745.25","14897.7","14691.7","14829.80"
"NIFTY MIDCAP 50","21 Mar 2025","14474.3","14652.3","14428.75","14630.15"
"NIFTY MIDCAP 50","20 Mar 2025","14483.4","14501.3","14333.15","14479.75"
"NIFTY MIDCAP 50","19 Mar 2025","14109.9","14412.25","14087.7","14389.75"
"NIFTY MIDCAP 50","18 Mar 2025","13827.45","14059.9","13794.15","14041.30"
"NIFTY MIDCAP 50","17 Mar 2025","13646.05","13797.65","13640.75","13752.35"
"NIFTY MIDCAP 50","13 Mar 2025","13798.25","13809.2","13604.8","13632.85"
"NIFTY MIDCAP 50","12 Mar 2025","13873.2","13910.7","13567.35","13743.65"
"NIFTY MIDCAP 50","11 Mar 2025","13590.4","13867.65","13544.2","13835.75"
"NIFTY MIDCAP 50","10 Mar 2025","13939.05","14027.8","13661","13708.40"
"NIFTY MIDCAP 50","07 Mar 2025","13975.45","14066.85","13891","13922.10"
"NIFTY MIDCAP 50","06 Mar 2025","14067.95","14106.25","13960.4","13983.20"
"NIFTY MIDCAP 50","05 Mar 2025","13546.6","13948.5","13546.6","13936.70"
"NIFTY MIDCAP 50","04 Mar 2025","13445.4","13669.6","13337.75","13594.55"
"NIFTY MIDCAP 50","03 Mar 2025","13553.05","13635.6","13274.4","13602.85"
"NIFTY MIDCAP 50","28 Feb 2025","13726.05","13732.55","13428.75","13540.15"
"NIFTY MIDCAP 50","27 Feb 2025","13954.35","13978.7","13763.65","13824.45"
"NIFTY MIDCAP 50","25 Feb 2025","13997.85","14099.6","13910.55","13942.20"
"NIFTY MIDCAP 50","24 Feb 2025","14017","14053.4","13895.95","14022.05"
"NIFTY MIDCAP 50","21 Feb 2025","14315.35","14410.65","14088.65","14142.50"
"NIFTY MIDCAP 50","20 Feb 2025","14132.5","14337.75","14074.85","14323.05"
"NIFTY MIDCAP 50","19 Feb 2025","13911.4","14208.1","13834","14162.75"
"NIFTY MIDCAP 50","18 Feb 2025","14013.75","14037.85","13828.2","13996.75"
"NIFTY MIDCAP 50","17 Feb 2025","13832.05","14022.55","13613.9","13996.85"
"NIFTY MIDCAP 50","14 Feb 2025","14303.65","14328.8","13770.65","13927.35"
"NIFTY MIDCAP 50","13 Feb 2025","14246.3","14438.95","14212.9","14257.05"
